Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
74,1,[1.1897 ],[6.2443 ],[0.3644 ],74,"[(615.0000, 273.0000)]","[(444.0000, 288.0000)]",[9.790136],[9.790136],[2.250019],[9.790136],[0.000000]
75,1,[1.1900 ],[6.1069 ],[0.2732 ],75,"[(618.0000, 277.0000)]","[(447.0000, 292.0000)]",[9.925603],[14.651745],[2.118277],[9.925603],[9.452285]
76,1,[1.2743 ],[6.5006 ],[0.3277 ],76,"[(618.0000, 285.0000)]","[(450.0000, 296.0000)]",[14.732987],[20.889801],[2.142877],[14.732987],[12.313627]
77,0,[0],[0],[0],77,[],[],[],[],[],[],[]
78,0,[0],[0],[0],78,[],[],[],[],[],[],[]
79,0,[0],[0],[0],79,[],[],[],[],[],[],[]
80,1,[1.1620 ],[5.8529 ],[0.0323 ],80,"[(621.0000, 288.0000)]","[(452.0000, 307.0000)]",[6.543462],[6.543462],[5.132674],[6.543462],[0.000000]
81,1,[1.2064 ],[6.0549 ],[0.1229 ],81,"[(621.0000, 288.0000)]","[(452.0000, 303.0000)]",[10.580735],[12.457038],[1.429539],[10.580735],[3.752606]
82,1,[1.2712 ],[6.3372 ],[0.2738 ],82,"[(621.0000, 285.0000)]","[(452.0000, 296.0000)]",[14.559692],[19.274241],[1.905011],[14.559692],[9.429098]
83,1,[1.2431 ],[6.1800 ],[0.2470 ],83,"[(621.0000, 281.0000)]","[(452.0000, 296.0000)]",[9.658917],[11.566618],[2.292196],[9.658917],[3.815401]
84,1,[1.2637 ],[6.2508 ],[0.3162 ],84,"[(621.0000, 277.0000)]","[(452.0000, 292.0000)]",[9.149216],[12.932853],[2.788688],[9.149216],[7.567273]
85,1,[1.2599 ],[6.2628 ],[0.3435 ],85,"[(621.0000, 277.0000)]","[(450.0000, 288.0000)]",[13.837791],[15.932522],[1.209280],[13.837791],[4.189462]
86,1,[1.2567 ],[6.0924 ],[0.2890 ],86,"[(624.0000, 277.0000)]","[(452.0000, 288.0000)]",[13.673299],[16.039498],[0.980085],[13.673299],[4.732398]
87,1,[1.2567 ],[6.0924 ],[0.2890 ],87,"[(624.0000, 277.0000)]","[(452.0000, 288.0000)]",[13.673299],[13.673299],[0.980085],[13.673299],[0.000000]
88,0,[0],[0],[0],88,[],[],[],[],[],[],[]
89,0,[0],[0],[0],89,[],[],[],[],[],[],[]
90,0,[0],[0],[0],90,[],[],[],[],[],[],[]
91,0,[0],[0],[0],91,[],[],[],[],[],[],[]
92,0,[0],[0],[0],92,[],[],[],[],[],[],[]
93,0,[0],[0],[0],93,[],[],[],[],[],[],[]
94,0,[0],[0],[0],94,[],[],[],[],[],[],[]
95,0,[0],[0],[0],95,[],[],[],[],[],[],[]
96,0,[0],[0],[0],96,[],[],[],[],[],[],[]
97,0,[0],[0],[0],97,[],[],[],[],[],[],[]
98,0,[0],[0],[0],98,[],[],[],[],[],[],[]
99,0,[0],[0],[0],99,[],[],[],[],[],[],[]
100,0,[0],[0],[0],100,[],[],[],[],[],[],[]
101,0,[0],[0],[0],101,[],[],[],[],[],[],[]
102,0,[0],[0],[0],102,[],[],[],[],[],[],[]
103,0,[0],[0],[0],103,[],[],[],[],[],[],[]
104,0,[0],[0],[0],104,[],[],[],[],[],[],[]
105,0,[0],[0],[0],105,[],[],[],[],[],[],[]
106,0,[0],[0],[0],106,[],[],[],[],[],[],[]
107,0,[0],[0],[0],107,[],[],[],[],[],[],[]
108,0,[0],[0],[0],108,[],[],[],[],[],[],[]
