Frame,Visibility,X,Y,Z,Original_Frame,Point_Coordinates_Camera1,Point_Coordinates_Camera2,Point_Costs_Formula1,Point_Costs_Formula2,Point_Costs_Epipolar,Point_Costs_Reprojection,Point_Costs_Temporal
43,0,[0],[0],[0],43,[],[],[],[],[],[],[]
44,0,[0],[0],[0],44,[],[],[],[],[],[],[]
45,0,[0],[0],[0],45,[],[],[],[],[],[],[]
46,0,[0],[0],[0],46,[],[],[],[],[],[],[]
47,0,[0],[0],[0],47,[],[],[],[],[],[],[]
48,0,[0],[0],[0],48,[],[],[],[],[],[],[]
49,0,[0],[0],[0],49,[],[],[],[],[],[],[]
50,0,[0],[0],[0],50,[],[],[],[],[],[],[]
51,0,[0],[0],[0],51,[],[],[],[],[],[],[]
52,0,[0],[0],[0],52,[],[],[],[],[],[],[]
53,0,[0],[0],[0],53,[],[],[],[],[],[],[]
54,0,[0],[0],[0],54,[],[],[],[],[],[],[]
55,0,[0],[0],[0],55,[],[],[],[],[],[],[]
56,0,[0],[0],[0],56,[],[],[],[],[],[],[]
57,0,[0],[0],[0],57,[],[],[],[],[],[],[]
58,0,[0],[0],[0],58,[],[],[],[],[],[],[]
59,0,[0],[0],[0],59,[],[],[],[],[],[],[]
60,1,[4.3490 ],[13.8818 ],[2.6367 ],60,"[(1383.0000, 483.0000)]","[(1282.0000, 142.0000)]",[297.552033],[297.552033],[195.067210],[297.552033],[0.000000]
61,0,[0],[0],[0],61,[],[],[],[],[],[],[]
62,0,[0],[0],[0],62,[],[],[],[],[],[],[]
63,0,[0],[0],[0],63,[],[],[],[],[],[],[]
64,0,[0],[0],[0],64,[],[],[],[],[],[],[]
65,0,[0],[0],[0],65,[],[],[],[],[],[],[]
66,0,[0],[0],[0],66,[],[],[],[],[],[],[]
67,0,[0],[0],[0],67,[],[],[],[],[],[],[]
68,0,[0],[0],[0],68,[],[],[],[],[],[],[]
69,0,[0],[0],[0],69,[],[],[],[],[],[],[]
70,0,[0],[0],[0],70,[],[],[],[],[],[],[]
71,0,[0],[0],[0],71,[],[],[],[],[],[],[]
72,0,[0],[0],[0],72,[],[],[],[],[],[],[]
73,0,[0],[0],[0],73,[],[],[],[],[],[],[]
74,0,[0],[0],[0],74,[],[],[],[],[],[],[]
75,0,[0],[0],[0],75,[],[],[],[],[],[],[]
76,0,[0],[0],[0],76,[],[],[],[],[],[],[]
77,0,[0],[0],[0],77,[],[],[],[],[],[],[]
78,0,[0],[0],[0],78,[],[],[],[],[],[],[]
79,0,[0],[0],[0],79,[],[],[],[],[],[],[]
80,0,[0],[0],[0],80,[],[],[],[],[],[],[]
81,0,[0],[0],[0],81,[],[],[],[],[],[],[]
82,0,[0],[0],[0],82,[],[],[],[],[],[],[]
83,0,[0],[0],[0],83,[],[],[],[],[],[],[]
84,0,[0],[0],[0],84,[],[],[],[],[],[],[]
85,0,[0],[0],[0],85,[],[],[],[],[],[],[]
86,0,[0],[0],[0],86,[],[],[],[],[],[],[]
87,0,[0],[0],[0],87,[],[],[],[],[],[],[]
88,0,[0],[0],[0],88,[],[],[],[],[],[],[]
89,0,[0],[0],[0],89,[],[],[],[],[],[],[]
90,0,[0],[0],[0],90,[],[],[],[],[],[],[]
91,0,[0],[0],[0],91,[],[],[],[],[],[],[]
92,0,[0],[0],[0],92,[],[],[],[],[],[],[]
93,0,[0],[0],[0],93,[],[],[],[],[],[],[]
94,0,[0],[0],[0],94,[],[],[],[],[],[],[]
95,0,[0],[0],[0],95,[],[],[],[],[],[],[]
96,0,[0],[0],[0],96,[],[],[],[],[],[],[]
97,0,[0],[0],[0],97,[],[],[],[],[],[],[]
98,0,[0],[0],[0],98,[],[],[],[],[],[],[]
99,0,[0],[0],[0],99,[],[],[],[],[],[],[]
100,0,[0],[0],[0],100,[],[],[],[],[],[],[]
101,0,[0],[0],[0],101,[],[],[],[],[],[],[]
102,0,[0],[0],[0],102,[],[],[],[],[],[],[]
103,0,[0],[0],[0],103,[],[],[],[],[],[],[]
104,0,[0],[0],[0],104,[],[],[],[],[],[],[]
105,0,[0],[0],[0],105,[],[],[],[],[],[],[]
106,0,[0],[0],[0],106,[],[],[],[],[],[],[]
107,0,[0],[0],[0],107,[],[],[],[],[],[],[]
108,0,[0],[0],[0],108,[],[],[],[],[],[],[]
109,0,[0],[0],[0],109,[],[],[],[],[],[],[]
110,0,[0],[0],[0],110,[],[],[],[],[],[],[]
111,0,[0],[0],[0],111,[],[],[],[],[],[],[]
112,0,[0],[0],[0],112,[],[],[],[],[],[],[]
113,0,[0],[0],[0],113,[],[],[],[],[],[],[]
114,0,[0],[0],[0],114,[],[],[],[],[],[],[]
115,0,[0],[0],[0],115,[],[],[],[],[],[],[]
116,1,[5.0615 ],[-1.2097 ],[1.0813 ],116,"[(905.0000, 112.0000)]","[(677.0000, 101.0000)]",[2.708890],[2.708890],[12.023534],[2.708890],[0.000000]
117,1,[5.0952 ],[-1.4674 ],[0.9802 ],117,"[(905.0000, 116.0000)]","[(677.0000, 105.0000)]",[2.837350],[6.623663],[11.827392],[2.837350],[7.572625]
118,1,[4.9705 ],[-0.6532 ],[1.0314 ],118,"[(902.0000, 120.0000)]","[(677.0000, 108.0000)]",[3.692607],[7.462348],[10.894564],[3.692607],[7.539482]
119,1,[4.8828 ],[-0.0724 ],[1.1105 ],119,"[(900.0000, 120.0000)]","[(677.0000, 108.0000)]",[3.564620],[4.504968],[11.023964],[3.564620],[1.880697]
120,0,[0],[0],[0],120,[],[],[],[],[],[],[]
121,0,[0],[0],[0],121,[],[],[],[],[],[],[]
122,0,[0],[0],[0],122,[],[],[],[],[],[],[]
123,0,[0],[0],[0],123,[],[],[],[],[],[],[]
124,0,[0],[0],[0],124,[],[],[],[],[],[],[]
125,0,[0],[0],[0],125,[],[],[],[],[],[],[]
126,0,[0],[0],[0],126,[],[],[],[],[],[],[]
127,0,[0],[0],[0],127,[],[],[],[],[],[],[]
128,1,[4.1596 ],[2.8421 ],[1.4491 ],128,"[(866.0000, 123.0000)]","[(658.0000, 116.0000)]",[0.528607],[0.528607],[15.057582],[0.528607],[0.000000]
129,1,[4.0770 ],[2.8190 ],[1.4496 ],129,"[(860.0000, 123.0000)]","[(652.0000, 116.0000)]",[0.093510],[5.743176],[14.606515],[0.093510],[11.299332]
130,1,[3.9508 ],[3.1774 ],[1.5037 ],130,"[(852.0000, 123.0000)]","[(646.0000, 116.0000)]",[0.206364],[6.797785],[14.289598],[0.206364],[13.182841]
131,1,[3.7693 ],[3.8579 ],[1.6037 ],131,"[(840.0000, 123.0000)]","[(638.0000, 116.0000)]",[0.511402],[9.928929],[13.960517],[0.511402],[18.835054]
132,1,[3.7078 ],[3.6931 ],[1.5842 ],132,"[(835.0000, 123.0000)]","[(632.0000, 116.0000)]",[1.003705],[6.184310],[13.449081],[1.003705],[10.361210]
133,1,[3.5592 ],[4.5296 ],[1.6817 ],133,"[(824.0000, 123.0000)]","[(627.0000, 120.0000)]",[2.704947],[10.904555],[17.210281],[2.704947],[16.399216]
134,1,[3.4164 ],[4.9054 ],[1.6802 ],134,"[(812.0000, 131.0000)]","[(618.0000, 123.0000)]",[2.772583],[14.018857],[11.482932],[2.772583],[22.492548]
135,1,[3.3300 ],[5.1264 ],[1.6356 ],135,"[(804.0000, 138.0000)]","[(613.0000, 131.0000)]",[2.450564],[11.893051],[11.683848],[2.450564],[18.884975]
136,1,[3.1943 ],[5.9605 ],[1.7130 ],136,"[(790.0000, 142.0000)]","[(607.0000, 138.0000)]",[0.085281],[11.278542],[14.192032],[0.085281],[22.386523]
137,1,[3.0678 ],[6.4179 ],[1.6809 ],137,"[(776.0000, 153.0000)]","[(599.0000, 150.0000)]",[0.011421],[15.176329],[13.924115],[0.011421],[30.329815]
138,1,[2.9417 ],[6.1614 ],[1.5494 ],138,"[(765.0000, 161.0000)]","[(587.0000, 161.0000)]",[1.152516],[15.218729],[14.954405],[1.152516],[28.132426]
139,1,[2.8579 ],[6.7932 ],[1.6007 ],139,"[(753.0000, 168.0000)]","[(582.0000, 168.0000)]",[0.628424],[11.217974],[14.294498],[0.628424],[21.179101]
140,1,[2.7487 ],[6.7969 ],[1.4644 ],140,"[(742.0000, 183.0000)]","[(573.0000, 183.0000)]",[1.159332],[18.160044],[12.208214],[1.159332],[34.001423]
141,1,[2.6178 ],[6.9283 ],[1.3543 ],141,"[(728.0000, 198.0000)]","[(562.0000, 198.0000)]",[3.173893],[21.604200],[9.894004],[3.173893],[36.860614]
142,1,[2.4906 ],[7.8089 ],[1.3876 ],142,"[(705.0000, 217.0000)]","[(551.0000, 217.0000)]",[5.265616],[29.675775],[7.441980],[5.265616],[48.820317]
143,1,[2.3740 ],[7.5032 ],[1.1806 ],143,"[(697.0000, 228.0000)]","[(542.0000, 236.0000)]",[0.058295],[16.372596],[12.733894],[0.058295],[32.628601]
144,1,[2.3015 ],[8.4395 ],[1.2194 ],144,"[(675.0000, 255.0000)]","[(534.0000, 258.0000)]",[7.234092],[34.728926],[4.846566],[7.234092],[54.989668]
145,1,[2.1704 ],[8.5786 ],[1.0616 ],145,"[(658.0000, 273.0000)]","[(523.0000, 288.0000)]",[0.824106],[27.581166],[12.836094],[0.824106],[53.514121]
146,1,[2.0490 ],[9.0383 ],[0.9768 ],146,"[(635.0000, 303.0000)]","[(509.0000, 315.0000)]",[6.276597],[38.557867],[5.077942],[6.276597],[64.562541]
147,0,[0],[0],[0],147,[],[],[],[],[],[],[]
148,1,[1.8174 ],[9.4572 ],[0.7060 ],148,"[(599.0000, 348.0000)]","[(486.0000, 375.0000)]",[0.331993],[0.331993],[10.550337],[0.331993],[0.000000]
149,1,"[1.6551, 3.2601 ]","[9.3432, 14.7428 ]","[0.3997, 3.0160 ]",149,"[(587.0000, 371.0000), (579.0000, 390.0000)]","[(475.0000, 412.0000), (1352.0000, 78.0000)]","[8.305657, 195.689295]","[38.872336, 661.903556]","[19.087049, 184.321892]","[8.305657, 195.689295]","[61.133359, 932.428520]"
150,1,[1.5910 ],[9.8368 ],[0.3099 ],150,"[(565.0000, 408.0000)]","[(466.0000, 450.0000)]",[3.751188],[42.740279],[13.934906],[3.751188],[77.978182]
151,1,[1.4484 ],[9.9525 ],[0.0209 ],151,"[(548.0000, 446.0000)]","[(455.0000, 491.0000)]",[0.525769],[40.482404],[10.079415],[0.525769],[79.913269]
152,1,[1.4018 ],[10.3815 ],[0.1183 ],152,"[(525.0000, 461.0000)]","[(441.0000, 513.0000)]",[2.267481],[27.676550],[11.720988],[2.267481],[50.818139]
153,1,[1.3546 ],[10.7350 ],[0.3269 ],153,"[(500.0000, 461.0000)]","[(421.0000, 517.0000)]",[1.739009],[23.233043],[11.246126],[1.739009],[42.988067]
154,1,[1.2929 ],[10.9674 ],[0.4473 ],154,"[(478.0000, 461.0000)]","[(402.0000, 525.0000)]",[5.028602],[25.197770],[14.740150],[5.028602],[40.338337]
155,1,[1.0676 ],[10.7880 ],[0.2998 ],155,"[(461.0000, 465.0000)]","[(376.0000, 532.0000)]",[2.495950],[23.464359],[12.102905],[2.495950],[41.936819]
156,1,[1.0895 ],[11.1901 ],[0.5451 ],156,"[(435.0000, 465.0000)]","[(357.0000, 536.0000)]",[1.971951],[23.480357],[11.637990],[1.971951],[43.016813]
157,1,[1.0271 ],[11.3710 ],[0.6011 ],157,"[(413.0000, 472.0000)]","[(337.0000, 547.0000)]",[0.462626],[22.212011],[10.027303],[0.462626],[43.498770]
158,1,[0.8332 ],[11.3703 ],[0.5271 ],158,"[(388.0000, 480.0000)]","[(306.0000, 562.0000)]",[0.512372],[29.250931],[8.977650],[0.512372],[57.477119]
159,1,[0.8576 ],[11.7583 ],[0.6762 ],159,"[(357.0000, 495.0000)]","[(284.0000, 581.0000)]",[4.360919],[34.530562],[4.810677],[4.360919],[60.339284]
160,1,[0.7995 ],[11.8779 ],[0.7052 ],160,"[(337.0000, 502.0000)]","[(264.0000, 592.0000)]",[6.228928],[27.148969],[2.805758],[6.228928],[41.840082]
161,0,[0],[0],[0],161,[],[],[],[],[],[],[]
162,0,[0],[0],[0],162,[],[],[],[],[],[],[]
163,0,[0],[0],[0],163,[],[],[],[],[],[],[]
164,1,[0.8740 ],[12.2111 ],[1.0269 ],164,"[(303.0000, 491.0000)]","[(233.0000, 577.0000)]",[14.560495],[14.560495],[5.851073],[14.560495],[0.000000]
165,1,[0.8548 ],[11.5902 ],[1.0136 ],165,"[(357.0000, 431.0000)]","[(267.0000, 513.0000)]",[0.172137],[73.078383],[10.384059],[0.172137],[145.812492]
166,1,[0.8964 ],[11.0625 ],[1.0259 ],166,"[(402.0000, 390.0000)]","[(298.0000, 461.0000)]",[3.329657],[60.985425],[14.133298],[3.329657],[115.311535]
167,1,[1.0476 ],[10.6651 ],[1.1623 ],167,"[(444.0000, 348.0000)]","[(331.0000, 405.0000)]",[3.185016],[62.187936],[14.418764],[3.185016],[118.005838]
168,1,[1.2127 ],[10.4203 ],[1.2448 ],168,"[(478.0000, 322.0000)]","[(362.0000, 375.0000)]",[8.136345],[48.883982],[19.925425],[8.136345],[81.495275]
169,1,[1.2270 ],[9.6966 ],[1.2112 ],169,"[(514.0000, 296.0000)]","[(382.0000, 333.0000)]",[0.372998],[43.438137],[12.041628],[0.372998],[86.130277]
170,1,"[1.5471, 3.2082 ]","[10.2621, 15.8067 ]","[1.5507, 3.5160 ]",170,"[(525.0000, 281.0000), (551.0000, 270.0000)]","[(405.0000, 303.0000), (227.0000, 765.0000)]","[7.665210, 975.915391]","[34.321803, 1213.914116]","[3.764441, 418.031611]","[7.665210, 975.915391]","[53.313187, 475.997450]"
171,1,[1.5714 ],[9.6391 ],[1.5060 ],171,"[(556.0000, 266.0000)]","[(419.0000, 273.0000)]",[18.085668],[50.048754],[6.457775],[18.085668],[63.926172]
172,1,[1.5878 ],[8.8937 ],[1.4723 ],172,"[(582.0000, 236.0000)]","[(435.0000, 255.0000)]",[1.738318],[31.959472],[10.637010],[1.738318],[60.442308]
173,1,[1.6531 ],[8.5538 ],[1.4875 ],173,"[(599.0000, 221.0000)]","[(447.0000, 243.0000)]",[3.784389],[22.538992],[16.659056],[3.784389],[37.509206]
174,1,[1.8071 ],[8.3376 ],[1.5610 ],174,"[(621.0000, 206.0000)]","[(466.0000, 225.0000)]",[4.613840],[29.561930],[17.743611],[4.613840],[49.896180]
175,1,[1.8714 ],[7.7560 ],[1.5190 ],175,"[(641.0000, 198.0000)]","[(478.0000, 210.0000)]",[0.038493],[19.286536],[13.093144],[0.038493],[38.496086]
176,1,[1.8866 ],[6.8378 ],[1.4023 ],176,"[(660.0000, 191.0000)]","[(486.0000, 198.0000)]",[3.485545],[19.860280],[9.545168],[3.485545],[32.749470]
177,1,[1.9996 ],[6.9252 ],[1.5060 ],177,"[(669.0000, 183.0000)]","[(495.0000, 187.0000)]",[4.570309],[16.953704],[8.559163],[4.570309],[24.766790]
178,1,[2.0878 ],[6.5278 ],[1.4750 ],178,"[(683.0000, 176.0000)]","[(506.0000, 183.0000)]",[0.408506],[13.319560],[12.995839],[0.408506],[25.822107]
179,1,[2.2092 ],[6.5403 ],[1.5253 ],179,"[(694.0000, 172.0000)]","[(517.0000, 176.0000)]",[1.794973],[13.465634],[11.631104],[1.794973],[23.341321]
180,1,[2.2221 ],[5.8963 ],[1.4422 ],180,"[(703.0000, 168.0000)]","[(520.0000, 172.0000)]",[1.513786],[8.518563],[11.994710],[1.513786],[14.009555]
181,1,[2.3056 ],[5.5522 ],[1.3948 ],181,"[(714.0000, 168.0000)]","[(528.0000, 168.0000)]",[4.671046],[14.088325],[8.793427],[4.671046],[18.834558]
182,1,[2.4039 ],[5.5745 ],[1.3944 ],182,"[(722.0000, 168.0000)]","[(537.0000, 168.0000)]",[3.862809],[11.884142],[9.624776],[3.862809],[16.042667]
183,1,[2.4954 ],[5.4216 ],[1.3943 ],183,"[(731.0000, 165.0000)]","[(545.0000, 165.0000)]",[3.007326],[11.507260],[10.557378],[3.007326],[16.999867]
184,1,[2.6071 ],[5.6882 ],[1.4433 ],184,"[(739.0000, 168.0000)]","[(554.0000, 161.0000)]",[9.096945],[17.787365],[4.588394],[9.096945],[17.380839]
185,1,[2.6557 ],[4.8642 ],[1.2850 ],185,"[(748.0000, 165.0000)]","[(559.0000, 165.0000)]",[2.040562],[9.523522],[11.578163],[2.040562],[14.965920]
186,1,[2.7022 ],[4.1095 ],[1.1264 ],186,"[(756.0000, 168.0000)]","[(562.0000, 165.0000)]",[5.128571],[10.591784],[8.487875],[5.128571],[10.926428]
187,1,[2.7740 ],[3.8984 ],[1.0654 ],187,"[(762.0000, 168.0000)]","[(568.0000, 168.0000)]",[1.809633],[7.797306],[11.792426],[1.809633],[11.975345]
188,1,[2.8113 ],[3.3340 ],[0.9586 ],188,"[(767.0000, 168.0000)]","[(570.0000, 168.0000)]",[1.812302],[5.115125],[11.797860],[1.812302],[6.605646]
189,1,[2.8904 ],[3.1353 ],[0.8645 ],189,"[(773.0000, 172.0000)]","[(576.0000, 172.0000)]",[1.586209],[8.398371],[11.975765],[1.586209],[13.624324]
190,1,[2.9725 ],[2.9350 ],[0.7679 ],190,"[(779.0000, 176.0000)]","[(582.0000, 176.0000)]",[1.340409],[8.151546],[12.172629],[1.340409],[13.622274]
191,1,[3.0288 ],[2.3262 ],[0.5889 ],191,"[(784.0000, 180.0000)]","[(585.0000, 180.0000)]",[1.443915],[6.831652],[12.011254],[1.443915],[10.775474]
192,1,[3.0841 ],[2.4572 ],[0.5411 ],192,"[(787.0000, 183.0000)]","[(590.0000, 187.0000)]",[2.565790],[2.565790],[16.038348],[2.565790],[0.000000]
193,1,[3.0808 ],[2.1081 ],[0.3507 ],193,"[(787.0000, 191.0000)]","[(590.0000, 195.0000)]",[2.062848],[9.608341],[15.405842],[2.062848],[15.090986]
194,1,[3.1086 ],[1.2013 ],[0.0993 ],194,"[(790.0000, 195.0000)]","[(590.0000, 198.0000)]",[0.760299],[4.545469],[14.025364],[0.760299],[7.570339]
195,1,[3.1753 ],[1.9231 ],[0.2535 ],195,"[(793.0000, 195.0000)]","[(596.0000, 198.0000)]",[1.466527],[5.706480],[14.745317],[1.466527],[8.479905]
196,1,[3.2465 ],[1.7356 ],[0.2939 ],196,"[(798.0000, 191.0000)]","[(599.0000, 191.0000)]",[0.846781],[7.436281],[12.460916],[0.846781],[13.178999]
197,1,[3.2810 ],[1.3904 ],[0.3679 ],197,"[(801.0000, 180.0000)]","[(599.0000, 183.0000)]",[2.381605],[11.524419],[15.915434],[2.381605],[18.285629]
198,1,[3.2688 ],[0.9453 ],[0.3664 ],198,"[(801.0000, 176.0000)]","[(596.0000, 176.0000)]",[0.545111],[6.011846],[13.008909],[0.545111],[10.933470]
199,1,[3.2662 ],[1.3458 ],[0.5677 ],199,"[(801.0000, 168.0000)]","[(596.0000, 168.0000)]",[0.072357],[7.619767],[13.619676],[0.072357],[15.094819]
200,0,[0],[0],[0],200,[],[],[],[],[],[],[]
201,0,[0],[0],[0],201,[],[],[],[],[],[],[]
202,0,[0],[0],[0],202,[],[],[],[],[],[],[]
203,0,[0],[0],[0],203,[],[],[],[],[],[],[]
204,0,[0],[0],[0],204,[],[],[],[],[],[],[]
205,0,[0],[0],[0],205,[],[],[],[],[],[],[]
206,0,[0],[0],[0],206,[],[],[],[],[],[],[]
207,0,[0],[0],[0],207,[],[],[],[],[],[],[]
208,1,[3.4004 ],[-0.9589 ],[0.6821 ],208,"[(812.0000, 135.0000)]","[(593.0000, 138.0000)]",[3.559753],[3.559753],[17.873277],[3.559753],[0.000000]
209,1,[3.3888 ],[-0.1052 ],[1.0296 ],209,"[(812.0000, 123.0000)]","[(593.0000, 123.0000)]",[1.559553],[14.311802],[16.019826],[1.559553],[25.504498]
210,1,[3.3438 ],[0.2497 ],[1.2510 ],210,"[(810.0000, 112.0000)]","[(590.0000, 112.0000)]",[1.969391],[12.654973],[16.611565],[1.969391],[21.371164]
211,1,[3.2870 ],[1.0365 ],[1.5417 ],211,"[(807.0000, 101.0000)]","[(587.0000, 97.0000)]",[1.164210],[13.809635],[13.563809],[1.164210],[25.290850]
212,1,[3.2845 ],[1.3546 ],[1.6829 ],212,"[(807.0000, 93.0000)]","[(587.0000, 90.0000)]",[0.263338],[7.370912],[15.157790],[0.263338],[14.215148]
213,1,[3.2725 ],[1.5217 ],[1.8313 ],213,"[(807.0000, 86.0000)]","[(585.0000, 78.0000)]",[4.165446],[13.254127],[10.765547],[4.165446],[18.177363]
214,1,[3.2712 ],[1.7762 ],[1.9556 ],214,"[(807.0000, 78.0000)]","[(585.0000, 71.0000)]",[2.685490],[9.806125],[12.366505],[2.685490],[14.241270]
215,1,[3.3040 ],[1.4526 ],[2.0261 ],215,"[(810.0000, 71.0000)]","[(585.0000, 63.0000)]",[3.399941],[10.803599],[11.756589],[3.399941],[14.807316]
216,1,[3.2247 ],[2.3764 ],[2.1999 ],216,"[(804.0000, 63.0000)]","[(582.0000, 56.0000)]",[1.833035],[10.217120],[13.456705],[1.833035],[16.768170]
217,1,[3.2236 ],[2.6782 ],[2.3136 ],217,"[(804.0000, 56.0000)]","[(582.0000, 48.0000)]",[2.277971],[9.420439],[13.107482],[2.277971],[14.284936]
218,1,[3.2340 ],[3.3083 ],[2.4192 ],218,"[(804.0000, 48.0000)]","[(585.0000, 45.0000)]",[3.267350],[9.079880],[18.941941],[3.267350],[11.625061]
219,1,[3.2336 ],[3.4248 ],[2.4660 ],219,"[(804.0000, 45.0000)]","[(585.0000, 41.0000)]",[2.545202],[5.883820],[18.255551],[2.545202],[6.677234]
220,1,[3.2376 ],[4.0350 ],[2.5453 ],220,"[(804.0000, 45.0000)]","[(587.0000, 33.0000)]",[4.561203],[8.500150],[10.956619],[4.561203],[7.877892]
221,0,[0],[0],[0],221,[],[],[],[],[],[],[]
222,0,[0],[0],[0],222,[],[],[],[],[],[],[]
223,1,[3.2046 ],[4.4460 ],[2.6868 ],223,"[(801.0000, 33.0000)]","[(585.0000, 22.0000)]",[2.781038],[2.781038],[12.930491],[2.781038],[0.000000]
224,1,[3.2478 ],[3.1891 ],[2.6666 ],224,"[(807.0000, 30.0000)]","[(582.0000, 18.0000)]",[4.516466],[10.073211],[11.236441],[4.516466],[11.113489]
225,1,[3.2296 ],[4.1295 ],[2.7075 ],225,"[(804.0000, 30.0000)]","[(585.0000, 18.0000)]",[3.796467],[6.628886],[11.947124],[3.796467],[5.664838]
226,1,[3.2296 ],[4.1295 ],[2.7075 ],226,"[(804.0000, 30.0000)]","[(585.0000, 18.0000)]",[3.796467],[3.796467],[11.947124],[3.796467],[0.000000]
227,1,[3.2344 ],[4.4795 ],[2.7075 ],227,"[(804.0000, 33.0000)]","[(587.0000, 18.0000)]",[6.582809],[8.956474],[9.117271],[6.582809],[4.747330]
228,1,[3.2456 ],[4.6965 ],[2.6965 ],228,"[(804.0000, 33.0000)]","[(590.0000, 22.0000)]",[2.388958],[4.785767],[13.345705],[2.388958],[4.793617]
229,1,[3.2369 ],[5.7428 ],[2.6916 ],229,"[(801.0000, 41.0000)]","[(596.0000, 26.0000)]",[5.551432],[13.035265],[9.988752],[5.551432],[14.967665]
230,1,[3.2632 ],[5.2145 ],[2.6109 ],230,"[(804.0000, 45.0000)]","[(596.0000, 33.0000)]",[3.312376],[9.048424],[12.219626],[3.312376],[11.472096]
231,1,[3.2716 ],[5.4689 ],[2.5924 ],231,"[(804.0000, 48.0000)]","[(599.0000, 37.0000)]",[2.185819],[5.999506],[13.333829],[2.185819],[7.627373]
232,1,[3.2850 ],[5.8196 ],[2.5089 ],232,"[(804.0000, 60.0000)]","[(604.0000, 48.0000)]",[3.232191],[14.704841],[12.079348],[3.232191],[22.945299]
233,1,[3.2935 ],[5.9795 ],[2.4525 ],233,"[(804.0000, 67.0000)]","[(607.0000, 56.0000)]",[2.371930],[9.768276],[12.857662],[2.371930],[14.792690]
234,1,[3.3081 ],[6.3751 ],[2.4001 ],234,"[(804.0000, 75.0000)]","[(613.0000, 67.0000)]",[0.648756],[10.400360],[15.852727],[0.648756],[19.503208]
235,1,[3.3137 ],[6.4506 ],[2.3238 ],235,"[(804.0000, 86.0000)]","[(615.0000, 75.0000)]",[2.533275],[11.668099],[12.405589],[2.533275],[18.269648]
236,1,[3.3221 ],[6.5584 ],[2.2381 ],236,"[(804.0000, 97.0000)]","[(618.0000, 86.0000)]",[2.835501],[13.455701],[11.928515],[2.835501],[21.240401]
237,1,[3.3379 ],[6.7957 ],[2.1164 ],237,"[(804.0000, 112.0000)]","[(624.0000, 105.0000)]",[0.673373],[17.201285],[15.298482],[0.673373],[33.055824]
238,1,[3.3512 ],[7.1177 ],[2.0119 ],238,"[(804.0000, 131.0000)]","[(630.0000, 120.0000)]",[3.322095],[19.943329],[10.912688],[3.322095],[33.242468]
